Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
5000,0.19454575,55.2,-22.342405,69.00392,-2.1348821112797376,-2.1348821112797376,0.0,1.0
10000,0.18954255,44.64150943396226,-22.268848,61.353172,-2.4364194468491607,-2.4364194468491607,0.0,1.0
15000,0.09785463,33.361702127659576,0.02598109,45.34538,-2.7089642920398287,-2.7089642920398287,30.192857142857143,1.0
20000,0.03571746,33.82236842105263,-14.266754,38.09831,-2.730472549455228,-2.730472549455228,34.745098039215684,1.0
25000,0.123404965,30.116883116883116,-9.2967825,29.129297,-2.6035039203083206,-2.6035039203083206,31.03921568627451,1.0
30000,0.124609664,30.207792207792206,-27.389227,24.449362,-2.612251296252399,-2.612251296252399,31.149350649350648,1.0
35000,0.119769245,34.145695364238414,-28.194773,33.191795,-2.616855260254325,-2.616855260254325,32.56967783033063,1.0
40000,0.11316346,31.055555555555557,-17.77253,33.866707,-2.7060613756292855,-2.7060613756292855,25.090883411415692,1.0
45000,0.15680633,33.18666666666667,-6.8824286,44.792046,-2.608889403130045,-2.608889403130045,18.34422362432661,1.0
50000,0.1696957,31.864864864864863,-7.5598454,33.016945,-2.5253999947639953,-2.5253999947639953,13.665108492306503,1.0
55000,0.13213217,34.248366013071895,-10.499416,31.614832,-2.6387758018339382,-2.6387758018339382,8.87800690195724,1.0
60000,0.099057056,32.10144927536232,-15.433861,25.825771,-2.607551089374067,-2.607551089374067,7.987378384375261,1.0
65000,0.12208657,35.76086956521739,-11.722511,32.25905,-2.6159268020503763,-2.6159268020503763,5.541594461723487,1.0
70000,0.13785596,32.16025641025641,-8.444286,30.379187,-2.5350567679732077,-2.5350567679732077,3.1467899734695113,1.0
75000,0.16471832,32.27972027972028,-3.5134804,34.07425,-2.6709786113993874,-2.6709786113993874,1.6091818539457845,1.0
80000,0.15474977,38.24626865671642,-7.6684923,21.243856,-2.650051859352324,-2.650051859352324,2.457300787853698,1.0
85000,0.17709126,31.198630136986303,-4.6525054,28.04329,-2.5602360530217894,-2.5602360530217894,1.8396748635398388,1.0
90000,0.15080753,36.37762237762238,-7.1965303,25.38576,-2.6274825158965336,-2.6274825158965336,1.2541858712308942,1.0
95000,0.15421416,32.431654676258994,-16.865068,33.56247,-2.722538845090986,-2.722538845090986,0.8581874965917882,1.0
100000,0.17312945,34.26845637583892,-1.6475878,35.07114,-2.6076046416400285,-2.6076046416400285,1.1924136311821145,1.0
105000,0.15549268,31.388535031847134,-14.911783,30.916836,-2.6413615313239203,-2.6413615313239203,1.338065555713211,1.0
110000,0.1230581,29.697986577181208,-10.479599,30.955217,-2.6474906024866858,-2.6474906024866858,0.5284522436621705,1.0
115000,0.090718694,37.43703703703704,-10.368934,26.55177,-2.633924822085095,-2.633924822085095,0.8247093113927837,1.0
120000,0.186196,34.294520547945204,-2.1556513,31.729633,-2.6159938378897434,-2.6159938378897434,0.3063143835345615,1.0
125000,0.13390152,34.067567567567565,-11.841498,33.671913,-2.7037892625635904,-2.7037892625635904,0.48418081680550273,1.0
130000,0.1766872,32.673469387755105,-9.258923,24.764715,-2.5995101976607526,-2.5995101976607526,0.5596482399249209,1.0
135000,0.10293356,27.86,-12.661703,21.10762,-2.558371335292856,-2.558371335292856,0.26992405352493126,1.0
